"","X","nextGPA","left_school","nextGPA_nonorm","Z","hsgrade_pct","totcredits_year1","age_at_entry","male","bpl_north_america","english","loc_campus1","loc_campus2","loc_campus3","clustervar"
"1",-2.3199999332428,2.44000005722046,0,3.94000005722046,0,91,4.5,19,1,1,1,1,0,0,2.3199999332428
"2",-2.14000010490417,2.16000008583069,0,3.66000008583069,0,94,5.5,19,0,1,1,1,0,0,2.14000010490417
"3",-0.449999988079071,0.5,0,2,0,65,5,18,1,1,1,1,0,0,0.449999988079071
"4",-1.94000005722046,1.96000003814697,0,3.46000003814697,0,76,4,19,0,1,1,1,0,0,1.94000005722046
"5",-0.680000007152557,NA,1,NA,0,39,4,18,1,1,1,1,0,0,0.680000007152557
"6",-1.99000000953674,1.75,0,3.25,0,97,5,19,0,1,1,1,0,0,1.99000000953674
"7",-2.27999997138977,2.20000004768372,0,3.70000004768372,0,72,4,19,0,1,1,0,1,0,2.27999997138977
"8",-1.73000001907349,NA,0,NA,0,22,4.5,18,1,1,0,1,0,0,1.73000001907349
"9",0.759999990463257,0.730000019073486,0,2.23000001907349,1,12,5,19,1,1,1,0,1,0,-0.759999990463257
"10",-1.73000001907349,1.58999991416931,0,3.08999991416931,0,70,5,19,0,1,1,0,1,0,1.73000001907349
"11",-0.839999973773956,0.409999966621399,0,1.9099999666214,0,17,4,18,1,1,1,1,0,0,0.839999973773956
"12",-0.980000019073486,1.38000011444092,0,2.88000011444092,0,51,5,18,0,1,1,1,0,0,0.980000019073486
"13",-2.16000008583069,2.3199999332428,0,3.8199999332428,0,97,5,19,0,1,1,1,0,0,2.16000008583069
"14",-1.87999999523163,2.17999982833862,0,3.77999973297119,0,9,5,19,1,1,1,0,0,1,1.87999999523163
"15",-0.800000011920929,1.27999997138977,0,2.77999997138977,0,35,4.5,20,0,1,0,1,0,0,0.800000011920929
"16",-1.41999995708466,1.03999996185303,0,2.53999996185303,0,81,5,19,0,1,0,1,0,0,1.41999995708466
"17",-1.23000001907349,1.1800000667572,0,2.6800000667572,0,41,5,19,1,0,0,1,0,0,1.23000001907349
"18",-1.60000002384186,1.70999991893768,0,3.30999994277954,0,15,5,17,0,1,1,0,0,1,1.60000002384186
"19",-1.27999997138977,1.72000002861023,0,3.22000002861023,0,5,5,20,1,1,1,1,0,0,1.27999997138977
"20",-0.800000011920929,0.769999980926514,0,2.26999998092651,0,35,4.5,19,1,1,1,1,0,0,0.800000011920929
"21",-1.33000004291534,1.24999988079071,0,2.84999990463257,0,54,5,18,0,1,0,0,0,1,1.33000004291534
"22",-0.180000007152557,-0.420000076293945,0,1.17999994754791,0,27,4,19,0,1,1,0,0,1,0.180000007152557
"23",-2.29999995231628,0.799999952316284,0,2.29999995231628,0,75,5,18,1,1,0,1,0,0,2.29999995231628
"24",-1.53999996185303,1.79999995231628,0,3.29999995231628,0,66,4,18,0,1,1,0,1,0,1.53999996185303
"25",-1.25999999046326,0.690000057220459,0,2.19000005722046,0,35,5,18,0,1,1,1,0,0,1.25999999046326
"26",-1.21000003814697,1.5,0,3,0,7,4,20,0,1,1,0,1,0,1.21000003814697
"27",-1.8400000333786,1.96000003814697,0,3.46000003814697,0,86,5,19,0,1,1,1,0,0,1.8400000333786
"28",0.720000028610229,-1.12999999523163,0,0.469999998807907,1,9,4,19,1,0,0,0,0,1,-0.720000028610229
"29",0.850000023841858,1.28999996185303,0,2.78999996185303,1,14,4,19,1,1,0,1,0,0,-0.850000023841858
"30",-1.74000000953674,1.83999991416931,0,3.33999991416931,0,83,5,19,0,1,1,0,1,0,1.74000000953674
"31",-0.769999980926514,1.10000002384186,0,2.70000004768372,0,43,4.5,19,1,1,0,0,0,1,0.769999980926514
"32",-1.5,1.24000000953674,0,2.74000000953674,0,70,5,19,1,1,1,1,0,0,1.5
"33",-1.4099999666214,2.09999990463257,0,3.69999980926514,0,22,4.5,19,0,1,1,0,0,1,1.4099999666214
"34",-1.39999997615814,0.630000114440918,0,2.13000011444092,0,28,4.5,19,0,1,1,0,1,0,1.39999997615814
"35",-2.16000008583069,1.28999996185303,0,2.78999996185303,0,95,5,18,1,1,1,1,0,0,2.16000008583069
"36",-2.44000005722046,2.20000004768372,0,3.70000004768372,0,97,5,19,0,1,1,1,0,0,2.44000005722046
"37",-1.22000002861023,NA,1,NA,0,83,5,18,0,1,1,1,0,0,1.22000002861023
"38",-2.4300000667572,2.20000004768372,0,3.70000004768372,0,85,4,19,0,1,1,0,1,0,2.4300000667572
"39",-0.720000028610229,0.399999976158142,0,2,0,38,5,19,0,1,1,0,0,1,0.720000028610229
"40",-1.1599999666214,0.799999952316284,0,2.29999995231628,0,50,5,19,1,1,1,1,0,0,1.1599999666214
"41",-1.78999996185303,1.5,0,3,0,93,4,19,0,0,0,1,0,0,1.78999996185303
"42",-2.33999991416931,2.1800000667572,0,3.6800000667572,0,70,4,18,0,0,0,0,1,0,2.33999991416931
